,month,country,eCPC,spent(rub),transitions ,,,,,,,
0,May,Russia,12.58,6027.21,479,,,,,,,
1,May,Ukraine,6.44,7871.99,1223,,,,,,,
2,May,Belorussia,5.74,5093.39,887,,,,,,,
3,May,Kazahstan,4.69,492.44,105,,,,,,,
4,June,Russia,10.13,5107.90,504,,,,,,,
5,June,Ukraine,4.76,842.85,176,,,,,,,
6,June,Belorussia,6.45,638.44,99,,,,,,,
7,June,Kazahstan,3.94,449.08,114,,,,,,,
8,July,Russia,0,0,0,,,,,,,
9,July,Ukraine,10.52,1325.77,125,,,,,,,
10,July,Belorussia,8.1,6526.53,806,,,,,,,
11,July,Kazahstan,7.22,3081.57,427,,,,,,,
